# Load-time + Memory KPI Benchmark
# date: 2026-07-09 16:46:37
# os: Windows-11-10.0.26200-SP0
# cpu: Intel64 Family 6 Model 204 Stepping 2, GenuineIntel
# ram_gb: 95.5
# ov_runtime: 2026.3.0-22375-093b688ab10
# ov_genai: 2026.3.0.0-3240-b99a4dd60f5
# gpu_name: Intel(R) Arc(TM) B390 GPU (iGPU)
# gpu_mem_gb: 84.84 GB
# gpu_driver: n/a
# ov_genai: 2026.3.0.0-3240-b99a4dd60f5
# paged_attention: True
# mmap_modes: ['ON']
# input_lengths: [512, 1024, 2048, 4096]
# max_new_tokens: 128
# warmup: 1  runs: 3
# ov_load_time_ms = perf_metrics.load_time from OV GenAI (built-in, ms)
# load_warm_s = 2nd (cached) load wall-clock; peak_load_rss_gb = max RSS sampled at 5ms during it
# mmap=ON: file-backed pages, OS reclaims after GPU upload => brief transient peak
# mmap=OFF: anonymous heap, stays resident => stable but ~2x higher RSS
# sustained_rss_gb = median RSS during generate(); peak_infer_rss_gb = max
#
model_name,pipeline_type,device,paged_attention,mmap,load_cold_s,load_warm_s,ov_load_time_ms,peak_load_rss_gb,target_input_tokens,actual_input_tokens,actual_output_tokens,max_new_tokens,run_index,ttft_ms,prefill_tps,tpot_ms,decode_tps,e2e_tps,total_ms,sustained_rss_gb,peak_infer_rss_gb,os_peak_wset_gb,status,error_msg
gemma-4-E4B-it-qat-ov-int4-gs64-johnson,VLM,GPU,True,True,14.77,9.08,9084.0,4.795,512,477,128,128,0,310.1,1538.0,33.55,29.8,29.8,4574.2,7.828,7.828,8.072,OK,
gemma-4-E4B-it-qat-ov-int4-gs64-johnson,VLM,GPU,True,True,14.77,9.08,9084.0,4.795,512,477,128,128,1,320.0,1490.4,33.45,29.9,29.89,4571.2,7.828,7.828,8.072,OK,
gemma-4-E4B-it-qat-ov-int4-gs64-johnson,VLM,GPU,True,True,14.77,9.08,9084.0,4.795,512,477,128,128,2,314.4,1517.3,33.4,29.9,29.94,4558.4,7.758,7.758,8.072,OK,
gemma-4-E4B-it-qat-ov-int4-gs64-johnson,VLM,GPU,True,True,14.77,9.08,9084.0,4.795,1024,989,128,128,0,490.7,2015.6,34.03,29.3,29.38,4817.9,8.124,8.124,8.134,OK,
gemma-4-E4B-it-qat-ov-int4-gs64-johnson,VLM,GPU,True,True,14.77,9.08,9084.0,4.795,1024,989,128,128,1,477.8,2070.1,33.94,29.4,29.47,4792.8,8.091,8.124,8.134,OK,
gemma-4-E4B-it-qat-ov-int4-gs64-johnson,VLM,GPU,True,True,14.77,9.08,9084.0,4.795,1024,989,128,128,2,474.1,2085.9,33.96,29.4,29.45,4792.0,8.065,8.091,8.134,OK,
gemma-4-E4B-it-qat-ov-int4-gs64-johnson,VLM,GPU,True,True,14.77,9.08,9084.0,4.795,2048,2013,128,128,0,844.6,2383.4,35.55,28.1,28.13,5367.9,8.746,8.746,8.746,OK,
gemma-4-E4B-it-qat-ov-int4-gs64-johnson,VLM,GPU,True,True,14.77,9.08,9084.0,4.795,2048,2013,128,128,1,870.9,2311.5,35.39,28.2,28.25,5374.4,8.674,8.746,8.746,OK,
gemma-4-E4B-it-qat-ov-int4-gs64-johnson,VLM,GPU,True,True,14.77,9.08,9084.0,4.795,2048,2013,128,128,2,879.0,2290.1,35.45,28.2,28.21,5390.2,8.603,8.625,8.746,OK,
gemma-4-E4B-it-qat-ov-int4-gs64-johnson,VLM,GPU,True,True,14.77,9.08,9084.0,4.795,4096,4061,128,128,0,1837.5,2210.1,35.71,27.9,28.01,6389.8,10.017,10.041,10.041,OK,
gemma-4-E4B-it-qat-ov-int4-gs64-johnson,VLM,GPU,True,True,14.77,9.08,9084.0,4.795,4096,4061,128,128,1,1851.0,2193.9,35.62,28.0,28.07,6392.5,9.759,9.86,10.041,OK,
gemma-4-E4B-it-qat-ov-int4-gs64-johnson,VLM,GPU,True,True,14.77,9.08,9084.0,4.795,4096,4061,128,128,2,1860.3,2182.9,35.51,28.1,28.16,6387.8,9.735,9.735,10.041,OK,
Llama-3.1-8B-Instruct-ov-int4-gs64-johnson,LLM,GPU,True,True,8.63,8.88,8799.0,6.496,512,478,128,128,0,223.0,2143.8,43.63,22.9,22.92,5765.3,5.865,6.1,10.041,OK,
Llama-3.1-8B-Instruct-ov-int4-gs64-johnson,LLM,GPU,True,True,8.63,8.88,8799.0,6.496,512,478,128,128,1,237.2,2015.5,43.37,23.1,23.06,5745.7,5.844,5.848,10.041,OK,
Llama-3.1-8B-Instruct-ov-int4-gs64-johnson,LLM,GPU,True,True,8.63,8.88,8799.0,6.496,512,478,128,128,2,235.1,2033.4,43.36,23.1,23.06,5742.2,5.844,5.844,10.041,OK,
Llama-3.1-8B-Instruct-ov-int4-gs64-johnson,LLM,GPU,True,True,8.63,8.88,8799.0,6.496,1024,990,128,128,0,428.9,2308.0,44.77,22.3,22.34,6114.7,5.981,5.981,10.041,OK,
Llama-3.1-8B-Instruct-ov-int4-gs64-johnson,LLM,GPU,True,True,8.63,8.88,8799.0,6.496,1024,990,128,128,1,471.5,2099.7,44.54,22.5,22.45,6128.5,5.979,5.979,10.041,OK,
Llama-3.1-8B-Instruct-ov-int4-gs64-johnson,LLM,GPU,True,True,8.63,8.88,8799.0,6.496,1024,990,128,128,2,455.1,2175.4,44.28,22.6,22.59,6078.7,5.979,5.979,10.041,OK,
Llama-3.1-8B-Instruct-ov-int4-gs64-johnson,LLM,GPU,True,True,8.63,8.88,8799.0,6.496,2048,2014,128,128,0,982.6,2049.6,47.82,20.9,20.91,7056.6,6.307,6.36,10.041,OK,
Llama-3.1-8B-Instruct-ov-int4-gs64-johnson,LLM,GPU,True,True,8.63,8.88,8799.0,6.496,2048,2014,128,128,1,963.9,2089.5,47.31,21.1,21.14,6972.5,6.307,6.307,10.041,OK,
Llama-3.1-8B-Instruct-ov-int4-gs64-johnson,LLM,GPU,True,True,8.63,8.88,8799.0,6.496,2048,2014,128,128,2,955.5,2107.8,46.52,21.5,21.49,6864.5,6.307,6.307,10.041,OK,
Llama-3.1-8B-Instruct-ov-int4-gs64-johnson,LLM,GPU,True,True,8.63,8.88,8799.0,6.496,4096,4062,128,128,0,1979.2,2052.4,45.48,22.0,21.99,7756.2,6.928,6.934,10.041,OK,
Llama-3.1-8B-Instruct-ov-int4-gs64-johnson,LLM,GPU,True,True,8.63,8.88,8799.0,6.496,4096,4062,128,128,1,2005.3,2025.6,45.59,21.9,21.94,7795.7,6.928,6.928,10.041,OK,
Llama-3.1-8B-Instruct-ov-int4-gs64-johnson,LLM,GPU,True,True,8.63,8.88,8799.0,6.496,4096,4062,128,128,2,1999.8,2031.2,45.49,22.0,21.98,7777.1,6.928,6.928,10.041,OK,
